TIME,X,Y,Z
14:25:31.76,-0.08569336,-0.03808593,1.21801757
14:25:31.90,-0.08740235,-0.03466797,1.22363281
14:25:32.05,-0.08251954,-0.03442383,1.22753906
14:25:32.18,-0.08422852,-0.04125977,1.22094726
14:25:32.32,-0.08837891,-0.0324707,1.23706054
14:25:32.47,-0.08398438,-0.03540039,1.22753906
14:25:32.61,-0.0900879,-0.03759765,1.22460937
14:25:32.75,-0.07495117,-0.03784179,1.22045898
14:25:32.90,-0.07666016,-0.0390625,1.22583007
14:25:33.04,-0.07519531,-0.03417968,1.22680664
14:25:33.17,-0.08935547,-0.03955078,1.22314453
14:25:33.31,-0.08520508,-0.03564453,1.21826171
14:25:33.46,-0.08374024,-0.04443359,1.22070312
14:25:33.60,-0.08178711,-0.03808593,1.22949218
14:25:33.74,-0.08325196,-0.03393554,1.22290039
14:25:33.89,-0.08691407,-0.0336914,1.21850585
14:25:34.03,-0.08984375,-0.03710937,1.22998046
14:25:34.16,-0.08203125,-0.03710937,1.23144531
14:25:34.30,-0.08007813,-0.03149414,1.21948242
14:25:34.45,-0.08398438,-0.03857422,1.22021484
14:25:34.59,-0.08276368,-0.03491211,1.22827148
14:25:34.74,-0.07788086,-0.04150391,1.22583007
14:25:34.88,-0.07958984,-0.04223633,1.22363281
14:25:35.02,-0.0822754,-0.03881836,1.22534179
14:25:35.15,-0.08959961,-0.03491211,1.23168945
14:25:35.29,-0.10278321,-0.02050781,1.24877929
14:25:35.44,-0.08837891,-0.03833008,1.22094726
14:25:35.58,-0.10791016,0.00292969,1.23315429
14:25:35.73,-0.0793457,-0.04296875,1.22143554
14:25:35.87,-0.0793457,-0.03759765,1.22851562
14:25:36.01,-0.08081055,-0.03881836,1.22192382
14:25:36.14,-0.08374024,-0.03710937,1.22631835
14:25:36.29,-0.08251954,-0.03662109,1.22583007
14:25:36.43,-0.08374024,-0.03930664,1.22607421
14:25:36.57,-0.08862305,-0.0336914,1.21679687
14:25:36.72,-0.08959961,-0.04077148,1.21899414
14:25:36.86,-0.07666016,-0.03833008,1.2265625
14:25:37.01,-0.08569336,-0.03735351,1.22192382
14:25:37.13,-0.07958984,-0.03784179,1.22094726
14:25:37.28,-0.08422852,-0.03564453,1.22680664
14:25:37.42,-0.07592773,-0.03491211,1.22509765
14:25:37.57,-0.08178711,-0.04150391,1.22021484
14:25:37.71,-0.08984375,-0.03710937,1.22558593
14:25:37.85,-0.0834961,-0.04516602,1.23632812
14:25:38.00,-0.07592773,-0.03808593,1.22314453
14:25:38.13,-0.08813477,-0.03515625,1.22460937
14:25:38.27,-0.07861328,-0.03955078,1.23535156
14:25:38.41,-0.07836914,-0.03955078,1.22436523
14:25:38.56,-0.08081055,-0.03784179,1.2302246
14:25:38.70,-0.08056641,-0.03979492,1.22314453
14:25:38.85,-0.08789063,-0.0324707,1.21777343
14:25:38.99,-0.08764649,-0.03491211,1.22973632
14:25:39.13,-0.08422852,-0.03686523,1.22436523
14:25:39.26,-0.078125,-0.04077148,1.21850585
14:25:39.41,-0.08154297,-0.03808593,1.22949218
14:25:39.55,-0.08520508,-0.03564453,1.22998046
14:25:39.69,-0.08496094,-0.03295898,1.22387695
14:25:39.84,-0.07763672,-0.03222656,1.22973632
14:25:39.98,-0.08300782,-0.04101562,1.2224121
14:25:40.13,-0.0834961,-0.03637695,1.22753906
14:25:40.25,-0.08813477,-0.04296875,1.11328125
14:25:40.40,-0.08178711,-0.03662109,1.22436523
14:25:40.54,-0.08374024,-0.03930664,1.22509765
14:25:40.68,-0.07739258,-0.03710937,1.22338867
14:25:40.83,-0.08081055,-0.03735351,1.23315429
14:25:40.97,-0.08813477,-0.03588867,1.22094726
14:25:41.12,-0.08496094,-0.03173828,1.21899414
14:25:41.24,-0.08178711,-0.03930664,1.22973632
14:25:41.39,-0.0859375,-0.03442383,1.21899414
14:25:41.53,-0.08178711,-0.04003906,1.22558593
14:25:41.68,-0.08178711,-0.03149414,1.22583007
14:25:41.82,-0.09204102,-0.03686523,1.22460937
14:25:41.97,-0.08276368,-0.03198242,1.22265625
14:25:42.11,-0.08837891,-0.03149414,1.21679687
14:25:42.24,-0.08203125,-0.0324707,1.22851562
14:25:42.38,-0.08276368,-0.04077148,1.22412109
14:25:42.53,-0.08129883,-0.03662109,1.22167968
14:25:42.67,-0.08398438,-0.03564453,1.22314453
14:25:42.81,-0.08276368,-0.03857422,1.22729492
14:25:42.96,-0.08447266,-0.03491211,1.22680664
14:25:43.10,-0.08203125,-0.03979492,1.21923828
14:25:43.23,-0.08642579,-0.03662109,1.22949218
14:25:43.37,-0.08618165,-0.03173828,1.23193359
14:25:43.52,-0.08129883,-0.03808593,1.22094726
14:25:43.66,-0.08105469,-0.04101562,1.22851562
14:25:43.80,-0.08105469,-0.03833008,1.2265625
14:25:43.95,-0.08764649,-0.03833008,1.22094726
14:25:44.09,-0.0793457,-0.03955078,1.22924804
14:25:44.22,-0.08618165,-0.04052734,1.22460937
14:25:44.36,-0.08422852,-0.03417968,1.234375
14:25:44.51,-0.08740235,-0.03295898,1.22314453
14:25:44.65,-0.08276368,-0.03686523,1.22460937
14:25:44.80,-0.08251954,-0.0402832,1.22875976
14:25:44.94,-0.08105469,-0.03662109,1.22509765
14:25:45.08,-0.0793457,-0.04077148,1.22875976
14:25:45.23,-0.08715821,-0.03417968,1.22753906
